Ticker,Sector
SBIN,Banking & Financials
BAJFINANCE,Banking & Financials
TITAN,FMCG
ITC,FMCG
TCS,IT
LT,Industrials
TATACONSUM,FMCG
RELIANCE,Energy
HCLTECH,IT
JSWSTEEL,Industrials
ULTRACEMCO,Industrials
POWERGRID,Industrials
INFY,IT
TRENT,FMCG
BHARTIARTL,Telecom
TATAMOTORS,Automobile
WIPRO,IT
TECHM,IT
NTPC,Industrials
HINDUNILVR,FMCG
APOLLOHOSP,Healthcare
M&M,Automobile
GRASIM,Industrials
ICICIBANK,Banking & Financials
ADANIENT,Ports & Logistics
ADANIPORTS,Ports & Logistics
BEL,Defence & Electronics
BAJAJFINSV,Banking & Financials
EICHERMOT,Automobile
COALINDIA,Industrials
MARUTI,Automobile
INDUSINDBK,Banking & Financials
ASIANPAINT,FMCG
TATASTEEL,Industrials
HDFCLIFE,Banking & Financials
DRREDDY,Healthcare
SUNPHARMA,Healthcare
KOTAKBANK,Banking & Financials
SHRIRAMFIN,Banking & Financials
NESTLEIND,FMCG
ONGC,Energy
CIPLA,Healthcare
BPCL,Energy
BRITANNIA,FMCG
SBILIFE,Banking & Financials
HINDALCO,Industrials
HEROMOTOCO,Automobile
AXISBANK,Banking & Financials
HDFCBANK,Banking & Financials
BAJAJ-AUTO,Automobile
